"province_name","province_code","region","fips"
Hà Nội,1,0,23
Hưng Yên,2,0,28
Hòa Bình,3,0,27
Phú Thọ,4,0,44
Hải Phòng,6,0,30
Tuyên Quang,7,0,60
Bắc Giang,8,0,14
Lạng Sơn,9,0,38
Hải Dương,10,0,29
Quảng Ninh,11,0,49
Thái Bình,12,0,54
Cao Bằng,13,0,19
Lai Châu,15,0,37
Yên Bái,16,0,63
Nam Định,17,0,40
Ninh Bình,19,0,42
Vĩnh Phúc,20,0,62
Hà Tĩnh,21,1,25
Thanh Hóa,22,1,57
Nghệ An,23,1,41
Thái Nguyên,24,0,55
Lào Cai,25,0,35
Quảng Trị,26,1,50
Sơn La,27,0,52
Quảng Ngãi,28,1,48
Hà Giang,29,0,22
Điện Biên,30,0,6
 Bắc Kạn,31,0,15
Ðà Nẵng,32,1,1
Lâm Ðồng,34,1,36
Kon Tum,35,1,34
Bà Rịa - Vũng Tàu,36,2,8
Ðắk Lắk,37,1,5
Quảng Bình,38,1,46
Cần Thơ,39,2,20
Bình Ðịnh,40,1,9
Gia Lai,41,1,21
Khánh Hoà,42,1,32
Ninh Thuận,43,1,43
Thừa Thiên - Huế,45,1,56
An Giang,46,2,7
Tây Ninh,48,2,53
Quảng Nam,49,1,47
Kiên Giang,51,2,33
Ðồng Tháp,52,2,3
Cà Mau,54,2,18
Đăk Nông,55,1,4
Phú Yên,56,1,45
Bình Phước,57,2,11
Long An,59,2,39
Tiền Giang,60,2,58
Bình Thuận,61,1,12
Trà Vinh,62,2,59
Sóc Trăng,63,2,51
Bạc Liêu,64,2,13
